,begin,end,proba
0,2004-02-12 12:55:00,2004-02-12 13:55:00,0.8172339219237444
1,2004-02-13 00:19:00,2004-02-13 01:19:00,0.793720067931562
2,2004-02-13 03:55:00,2004-02-13 04:55:00,0.8348636554455041
3,2004-02-23 22:45:00,2004-02-23 23:45:00,0.9979720772219249
4,2004-02-24 14:43:00,2004-02-24 15:43:00,0.9836594997466034
5,2004-02-25 02:27:00,2004-02-25 03:27:00,0.9872102053083645
6,2004-02-26 04:56:00,2004-02-26 05:56:00,0.9750834575637728
7,2004-02-26 22:21:00,2004-02-26 23:21:00,0.9897726073433664
8,2004-02-27 07:38:00,2004-02-27 08:38:00,0.9857603206593639
9,2004-02-28 01:21:00,2004-02-28 02:21:00,0.9683044955839485
10,2004-03-01 18:11:00,2004-03-01 19:11:00,0.9797636930134206
11,2004-03-02 10:11:00,2004-03-02 11:11:00,0.8923693797774592
12,2004-03-02 23:02:00,2004-03-03 00:02:00,0.973551699759373
13,2004-03-03 13:33:00,2004-03-03 14:33:00,0.9787135705152332
14,2004-03-04 01:43:00,2004-03-04 02:43:00,0.9416831679578606
15,2004-03-04 13:39:00,2004-03-04 14:39:00,0.8083809152635416
16,2004-03-06 09:14:00,2004-03-06 10:14:00,0.9688592989509553
17,2004-03-06 23:31:00,2004-03-07 00:31:00,0.9896665961448768
18,2004-03-07 13:58:00,2004-03-07 14:58:00,0.9648299578976466
19,2004-03-08 03:48:00,2004-03-08 04:48:00,0.978295964052179
20,2004-03-08 19:17:00,2004-03-08 20:17:00,0.9623552082355051
21,2004-03-09 05:55:00,2004-03-09 06:55:00,0.976224981165415
22,2004-03-09 16:38:00,2004-03-09 17:38:00,0.9724917692355656
23,2004-03-10 11:33:00,2004-03-10 12:33:00,0.9861624682797803
24,2004-03-10 21:57:00,2004-03-10 22:57:00,0.9950104311925098
25,2004-03-11 15:02:00,2004-03-11 16:02:00,0.9793884883258213
26,2004-03-12 01:20:00,2004-03-12 02:20:00,0.9459664681171436
27,2004-03-12 16:22:00,2004-03-12 17:22:00,0.9299599399168554
28,2004-03-14 09:03:00,2004-03-14 10:03:00,0.9157868433788383
29,2004-03-14 23:13:00,2004-03-15 00:13:00,0.9625851389504695
30,2004-03-15 14:17:00,2004-03-15 15:17:00,0.99072310313563
31,2004-03-16 01:41:00,2004-03-16 02:41:00,0.9354512894232999
32,2004-03-16 18:23:00,2004-03-16 19:23:00,0.9678434698786117
33,2004-03-17 05:04:00,2004-03-17 06:04:00,0.9415255455798479
34,2004-03-17 21:41:00,2004-03-17 22:41:00,0.9664357568368904
35,2004-03-18 08:35:00,2004-03-18 09:35:00,0.955764734812349
36,2004-03-18 22:56:00,2004-03-18 23:56:00,0.9765357999459988
37,2004-03-19 13:01:00,2004-03-19 14:01:00,0.963932696004712
38,2004-03-20 00:32:00,2004-03-20 01:32:00,0.952977901298782
39,2004-03-20 18:13:00,2004-03-20 19:13:00,0.9601657837017998
40,2004-03-21 05:25:00,2004-03-21 06:25:00,0.9713301657844954
41,2004-03-21 20:03:00,2004-03-21 21:03:00,0.9544909736402126
42,2004-03-22 09:25:00,2004-03-22 10:25:00,0.9146679805038569
43,2004-03-23 00:01:00,2004-03-23 01:01:00,0.9810104590058505
44,2004-03-23 14:19:00,2004-03-23 15:19:00,0.9713408986782288
45,2004-03-24 01:16:00,2004-03-24 02:16:00,0.9640172864841301
46,2004-03-24 02:32:00,2004-03-24 03:32:00,0.9938312316417789
47,2004-03-24 17:09:00,2004-03-24 18:09:00,0.9916849265815149
48,2004-03-25 06:39:00,2004-03-25 07:39:00,0.9702091548788062
49,2004-03-25 18:14:00,2004-03-25 19:14:00,0.9849285389887702
50,2004-03-26 09:14:00,2004-03-26 10:14:00,0.9844389642565123
51,2004-03-26 22:03:00,2004-03-26 23:03:00,0.971058203259214
52,2004-03-29 07:08:00,2004-03-29 08:08:00,0.9575895635285132
53,2004-03-29 18:44:00,2004-03-29 19:44:00,0.9620932435224553
54,2004-03-30 09:41:00,2004-03-30 10:41:00,0.9851113478438154
55,2004-03-30 22:05:00,2004-03-30 23:05:00,0.9654889437670472
56,2004-03-31 14:23:00,2004-03-31 15:23:00,0.9808029387109175
57,2004-04-01 01:00:00,2004-04-01 02:00:00,0.947647445766557
58,2004-04-01 18:32:00,2004-04-01 19:32:00,0.9685937809524281
59,2004-04-02 05:22:00,2004-04-02 06:22:00,0.9566211827213662
60,2004-04-02 20:08:00,2004-04-02 21:08:00,0.8827317109488614
61,2004-04-03 07:34:00,2004-04-03 08:34:00,0.9484175309526021
62,2004-04-03 09:17:00,2004-04-03 10:17:00,0.9956928537786544
63,2004-04-03 10:37:00,2004-04-03 11:37:00,0.9572057934624187
64,2004-04-04 00:17:00,2004-04-04 01:17:00,0.8898384523762743
65,2004-04-04 03:06:00,2004-04-04 04:06:00,0.9874481330244249
66,2004-04-04 04:35:00,2004-04-04 05:35:00,0.9513171413187167
67,2004-04-04 08:27:00,2004-04-04 09:27:00,0.9690409502046085
68,2004-04-04 09:43:00,2004-04-04 10:43:00,0.8889011139506661
69,2004-04-04 11:10:00,2004-04-04 12:10:00,0.9924085704457265
70,2004-04-04 14:04:00,2004-04-04 15:04:00,0.9652260634210142
71,2004-04-06 03:43:00,2004-04-06 04:43:00,0.9762007264096536
72,2004-04-07 22:08:00,2004-04-07 23:08:00,0.956351696462089
73,2004-04-08 13:35:00,2004-04-08 14:35:00,0.9819550647630645
74,2004-04-09 04:21:00,2004-04-09 05:21:00,0.972902949210235
75,2004-04-09 17:38:00,2004-04-09 18:38:00,0.9702756520156732
76,2004-04-10 05:56:00,2004-04-10 06:56:00,0.9486915217983852
77,2004-04-10 19:38:00,2004-04-10 20:38:00,0.998036478195234
78,2004-04-11 08:06:00,2004-04-11 09:06:00,0.9772538189033164
79,2004-04-11 23:55:00,2004-04-12 00:55:00,0.9709242053759549
80,2004-04-12 11:42:00,2004-04-12 12:42:00,0.9535310114949482
81,2004-04-15 10:13:00,2004-04-15 11:13:00,0.9571483320009213
82,2004-04-15 23:31:00,2004-04-16 00:31:00,0.9882683594887307
83,2004-04-16 14:13:00,2004-04-16 15:13:00,0.9752737167425637
84,2004-04-17 01:02:00,2004-04-17 02:02:00,0.9748124791648299
85,2004-04-17 17:01:00,2004-04-17 18:01:00,0.927762645288399
86,2004-04-18 06:09:00,2004-04-18 07:09:00,0.9889229498763458
87,2004-04-18 19:26:00,2004-04-18 20:26:00,0.9837535220857108
88,2004-04-19 08:04:00,2004-04-19 09:04:00,0.9528281554832077
89,2004-04-21 15:03:00,2004-04-21 16:03:00,0.9781163742222863
90,2004-04-22 06:41:00,2004-04-22 07:41:00,0.9608190873696048
91,2004-04-22 19:23:00,2004-04-22 20:23:00,0.9178961474378812
92,2004-04-23 07:38:00,2004-04-23 08:38:00,0.9390348514919956
93,2004-04-23 22:51:00,2004-04-23 23:51:00,0.9485091280838874
94,2004-04-24 14:31:00,2004-04-24 15:31:00,0.9788912410726852
95,2004-04-24 15:41:00,2004-04-24 16:41:00,0.9614118423212769
96,2004-04-25 01:15:00,2004-04-25 02:15:00,0.917046848526873
97,2004-04-25 20:31:00,2004-04-25 21:31:00,0.9855786843976097
98,2004-04-30 14:29:00,2004-04-30 15:29:00,0.9697696361179584
99,2004-04-30 21:17:00,2004-04-30 22:17:00,0.9917205993552333
100,2004-05-01 12:16:00,2004-05-01 13:16:00,0.9624477429227791
