,begin,end,proba
0,2001-02-04 06:59:00,2001-02-04 07:59:00,0.9492802720451704
1,2001-02-04 19:30:00,2001-02-04 20:30:00,0.9182412287633159
2,2001-02-13 20:01:00,2001-02-13 21:01:00,0.920459130764668
3,2001-02-14 09:48:00,2001-02-14 10:48:00,0.9411031893067435
4,2001-02-20 23:20:00,2001-02-21 00:20:00,0.9170086538416895
5,2001-02-21 11:27:00,2001-02-21 12:27:00,0.9290343242273207
6,2001-02-23 08:52:00,2001-02-23 09:52:00,0.7806620535792812
7,2001-02-23 19:39:00,2001-02-23 20:39:00,0.8628906247400895
8,2001-06-02 18:48:00,2001-06-02 19:48:00,0.9301758095440316
9,2001-06-08 17:46:00,2001-06-08 18:46:00,0.9757841454247638
10,2001-07-03 04:22:00,2001-07-03 05:22:00,0.9196679370143858
11,2001-07-03 05:32:00,2001-07-03 06:32:00,0.9367244432870866
12,2001-07-03 07:19:00,2001-07-03 08:19:00,0.9378119208924327
13,2001-07-04 23:35:00,2001-07-05 00:35:00,0.9715151847638133
14,2001-07-05 01:37:00,2001-07-05 02:37:00,0.945438014076474
15,2001-11-06 11:01:00,2001-11-06 12:01:00,0.9150913568618793
16,2001-11-06 12:13:00,2001-11-06 13:13:00,0.9314094920379352
17,2001-11-06 14:26:00,2001-11-06 15:26:00,0.8347095925208555
18,2001-11-06 16:51:00,2001-11-06 17:51:00,0.9516825171307873
19,2001-11-06 19:24:00,2001-11-06 20:24:00,0.9458000534593539
20,2001-11-13 16:57:00,2001-11-13 17:57:00,0.9046895880416099
21,2001-11-13 23:42:00,2001-11-14 00:42:00,0.8790275260274016
22,2001-11-20 03:05:00,2001-11-20 04:05:00,0.9292633197713491
23,2001-11-21 05:52:00,2001-11-21 06:52:00,0.822872582058574
24,2001-11-21 10:50:00,2001-11-21 11:50:00,0.6964231970470549
25,2001-12-04 11:02:00,2001-12-04 12:02:00,0.8986114312145965
26,2001-12-04 12:05:00,2001-12-04 13:05:00,0.9653698437024468
27,2001-12-04 13:48:00,2001-12-04 14:48:00,0.9467332793927363
28,2001-12-21 03:18:00,2001-12-21 04:18:00,0.973639517605721
29,2001-12-22 12:26:00,2001-12-22 13:26:00,0.7818089677815562
30,2001-12-27 07:19:00,2001-12-27 08:19:00,0.959649766403973
31,2002-01-03 08:49:00,2002-01-03 09:49:00,0.9229517557188708
