,begin,end,proba
0,2007-05-03 11:18:40,2007-05-03 11:19:25,
1,2007-05-03 11:19:45,2007-05-03 11:20:25,
2,2007-05-03 11:21:10,2007-05-03 11:22:05,
3,2007-05-03 11:22:40,2007-05-03 11:24:05,
4,2007-05-03 11:36:35,2007-05-03 11:37:10,
5,2007-05-07 19:50:00,2007-05-07 19:50:25,
6,2007-05-07 19:55:45,2007-05-07 19:57:05,
7,2007-05-07 19:59:05,2007-05-07 20:02:10,
8,2007-05-20 09:49:05,2007-05-20 09:49:25,
9,2007-05-20 09:53:05,2007-05-20 09:53:25,
10,2007-05-20 09:56:30,2007-05-20 09:57:40,
11,2007-05-20 09:59:10,2007-05-20 10:01:45,
12,2007-05-20 10:03:50,2007-05-20 10:05:10,
13,2007-05-20 10:40:35,2007-05-20 10:43:15,
14,2007-05-20 10:44:20,2007-05-20 10:44:50,
15,2007-05-20 21:50:25,2007-05-20 21:52:25,
16,2007-05-21 15:50:35,2007-05-21 15:51:40,
17,2007-05-21 15:52:25,2007-05-21 15:53:45,
18,2007-05-21 15:55:40,2007-05-21 15:59:45,
19,2007-05-21 16:00:00,2007-05-21 16:00:15,
20,2007-05-29 13:18:40,2007-05-29 13:19:35,
21,2007-05-29 13:21:05,2007-05-29 13:21:20,
22,2007-05-29 13:23:10,2007-05-29 13:24:00,
23,2007-05-29 13:29:40,2007-05-29 13:31:35,
24,2007-05-29 13:33:45,2007-05-29 13:34:05,
25,2007-05-29 13:34:20,2007-05-29 13:34:35,
26,2007-05-29 13:35:05,2007-05-29 13:35:40,
27,2007-05-29 13:35:55,2007-05-29 13:36:40,
28,2007-05-29 13:38:00,2007-05-29 13:38:20,
29,2007-05-29 13:39:50,2007-05-29 13:40:05,
30,2007-05-29 13:40:10,2007-05-29 13:42:50,
31,2007-05-29 13:44:50,2007-05-29 13:45:55,
32,2007-05-29 13:46:40,2007-05-29 13:46:55,
33,2007-05-29 13:48:25,2007-05-29 13:48:50,
34,2007-05-29 13:50:45,2007-05-29 13:51:10,
35,2007-05-29 13:52:10,2007-05-29 13:52:20,
36,2007-05-29 13:52:25,2007-05-29 13:53:20,
37,2007-05-31 09:48:35,2007-05-31 09:48:55,
38,2007-05-31 09:52:40,2007-05-31 09:53:30,
39,2007-05-31 09:54:15,2007-05-31 09:54:35,
40,2007-05-31 09:59:40,2007-05-31 10:01:30,
41,2007-06-01 03:06:20,2007-06-01 03:06:50,
42,2007-06-01 03:07:25,2007-06-01 03:08:00,
43,2007-06-02 09:54:00,2007-06-02 09:54:30,
44,2007-06-02 09:54:55,2007-06-02 09:56:15,
45,2007-06-02 09:57:20,2007-06-02 09:57:45,
46,2007-06-02 10:01:40,2007-06-02 10:02:00,
47,2007-06-02 10:02:45,2007-06-02 10:02:55,
48,2007-06-02 10:03:05,2007-06-02 10:03:25,
