,begin,end,proba
0,2007-05-07 06:37:30,2007-05-07 06:42:05,0.997979797979798
1,2007-05-21 16:23:35,2007-05-21 16:24:45,0.8742355889724311
2,2007-05-24 05:58:30,2007-05-24 05:58:55,0.985921227781693
3,2007-05-24 06:21:05,2007-05-24 06:21:20,0.924171627322415
4,2007-05-24 06:21:40,2007-05-24 06:21:55,0.9905723905723907
5,2007-05-24 06:23:30,2007-05-24 06:24:05,0.918296474323639
6,2007-05-25 14:07:55,2007-05-25 14:09:05,0.997979797979798
7,2007-05-25 14:09:15,2007-05-25 14:09:30,0.8047875657313044
8,2007-05-29 12:57:25,2007-05-29 12:57:45,0.997979797979798
9,2007-05-29 12:58:40,2007-05-29 12:59:00,0.9093871041239463
10,2007-05-29 12:59:20,2007-05-29 12:59:50,0.997979797979798
11,2007-05-29 13:00:10,2007-05-29 13:00:50,0.997979797979798
12,2007-05-29 13:01:10,2007-05-29 13:01:50,0.997979797979798
13,2007-05-29 13:02:00,2007-05-29 13:02:45,0.9544334854019529
14,2007-05-29 13:06:25,2007-05-29 13:07:45,0.985921227781693
15,2007-05-29 13:13:10,2007-05-29 13:14:15,0.9751468170072822
16,2007-05-29 13:29:40,2007-05-29 13:30:00,0.8560537707906131
17,2007-06-08 22:42:15,2007-06-08 22:48:15,0.997979797979798
18,2007-06-08 22:56:10,2007-06-08 23:00:55,0.997979797979798
19,2007-06-10 05:36:10,2007-06-10 05:36:45,0.9736557155161807
20,2007-06-11 15:40:50,2007-06-11 15:49:45,0.8605723905723905
21,2007-06-12 21:37:20,2007-06-12 21:38:05,0.8443063265403878
22,2007-06-12 21:42:10,2007-06-12 21:42:40,0.997979797979798
23,2007-06-12 21:43:55,2007-06-12 21:44:10,0.997979797979798
24,2007-06-12 21:44:30,2007-06-12 21:44:50,0.997979797979798
25,2007-06-12 21:44:55,2007-06-12 21:45:45,0.997979797979798
26,2007-06-12 21:45:55,2007-06-12 21:46:05,0.997979797979798
27,2007-06-12 21:46:55,2007-06-12 21:48:55,0.997979797979798
28,2007-06-12 21:49:15,2007-06-12 21:49:25,0.997979797979798
29,2007-06-12 21:54:55,2007-06-12 21:55:25,0.997979797979798
30,2007-06-13 13:35:15,2007-06-13 13:35:50,0.8047875657313044
31,2007-06-13 13:36:15,2007-06-13 13:36:30,0.9518627131530357
32,2007-06-13 14:22:25,2007-06-13 14:23:00,0.997979797979798
33,2007-06-14 03:57:00,2007-06-14 03:57:15,0.9187365605970257
34,2007-06-14 03:57:30,2007-06-14 03:57:40,0.9409474660310799
35,2007-06-14 04:00:45,2007-06-14 04:01:20,0.997979797979798
36,2007-06-14 04:01:30,2007-06-14 04:01:40,0.997979797979798
37,2007-06-16 03:34:20,2007-06-16 03:35:35,0.997979797979798
38,2007-06-16 03:38:00,2007-06-16 03:40:40,0.997979797979798
